ano,mes,habitação,alimentação,transporte,despesas pessoais,saúde,vestuário,educação,geral
1994,6,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1994,7,0.105330,0.108770,0.109970,0.107770,0.107950,0.102070,0.101480,0.106950
1994,8,0.109238,0.111750,0.110531,0.107479,0.109612,0.102682,0.100902,0.109035
1994,9,0.113476,0.111449,0.111382,0.106662,0.110698,0.100814,0.100831,0.109930
1994,10,0.118333,0.118570,0.111594,0.107185,0.111971,0.100269,0.101022,0.113414
1994,11,0.122830,0.124202,0.111437,0.108117,0.113997,0.104531,0.101720,0.116839
1994,12,0.127767,0.124326,0.111293,0.109285,0.116471,0.103464,0.102838,0.118300
1995,1,0.131230,0.123307,0.111025,0.110957,0.120582,0.103040,0.104422,0.119246
1995,2,0.135469,0.124034,0.110692,0.113498,0.123898,0.101618,0.105425,0.120820
1995,3,0.141036,0.124952,0.110847,0.114656,0.127070,0.099261,0.121101,0.123140
1995,4,0.145676,0.125964,0.111845,0.118806,0.130565,0.105524,0.130160,0.126391
1995,5,0.151256,0.124289,0.112482,0.121218,0.133764,0.114029,0.139063,0.128881
1995,6,0.158093,0.124202,0.117645,0.122794,0.141134,0.118214,0.145307,0.132309
1995,7,0.167167,0.127046,0.124398,0.127251,0.149870,0.116689,0.150407,0.137231
1995,8,0.174038,0.128711,0.124249,0.130420,0.153287,0.110318,0.152031,0.139193
1995,9,0.178197,0.128363,0.124547,0.132076,0.154222,0.109788,0.152731,0.140224
1995,10,0.181476,0.129185,0.128707,0.135338,0.156212,0.109448,0.153616,0.142299
1995,11,0.184416,0.131923,0.128681,0.136814,0.156915,0.108365,0.154569,0.143964
1995,12,0.191387,0.132345,0.129440,0.137375,0.161434,0.106414,0.155450,0.145706
1996,1,0.196497,0.134675,0.128716,0.137622,0.165905,0.105158,0.180695,0.148358
1996,2,0.200741,0.134459,0.129501,0.138682,0.167432,0.100016,0.185321,0.148951
1996,3,0.205378,0.134163,0.129708,0.138390,0.169441,0.093935,0.194049,0.149294
1996,4,0.207802,0.135049,0.135752,0.139636,0.170170,0.098059,0.194010,0.151712
1996,5,0.210108,0.135117,0.136160,0.141968,0.173403,0.105864,0.195252,0.153745
1996,6,0.212735,0.135576,0.143539,0.142976,0.175744,0.107188,0.196345,0.155913
1996,7,0.215671,0.137040,0.149812,0.142890,0.183459,0.105473,0.196562,0.157955
1996,8,0.220221,0.136643,0.149408,0.143404,0.186266,0.103089,0.196070,0.158492
1996,9,0.222688,0.136055,0.149602,0.144308,0.187365,0.100718,0.195541,0.158603
1996,10,0.224068,0.136926,0.151307,0.144250,0.187964,0.101453,0.195287,0.159523
1996,11,0.225323,0.137077,0.151686,0.144308,0.187964,0.102752,0.195462,0.160066
1996,12,0.226315,0.135144,0.155326,0.145029,0.190596,0.103091,0.196928,0.160338
1997,1,0.227061,0.137184,0.159598,0.146973,0.192883,0.100297,0.214317,0.162310
1997,2,0.228038,0.138227,0.159246,0.147120,0.193365,0.096656,0.213931,0.162326
1997,3,0.228950,0.140425,0.159167,0.146899,0.194100,0.092461,0.214402,0.162667
1997,4,0.230026,0.139905,0.159055,0.146752,0.196119,0.098998,0.214852,0.163708
1997,5,0.234534,0.137988,0.159087,0.146150,0.198511,0.104245,0.215110,0.164608
1997,6,0.238990,0.139272,0.163685,0.145975,0.200377,0.107050,0.215131,0.166946
1997,7,0.240783,0.138882,0.165649,0.145785,0.201379,0.105176,0.214852,0.167130
1997,8,0.242059,0.136910,0.165152,0.146193,0.203031,0.099455,0.214143,0.165859
1997,9,0.242930,0.136882,0.164789,0.147261,0.204025,0.097495,0.214528,0.165876
1997,10,0.243222,0.137813,0.164327,0.148394,0.204372,0.096579,0.214357,0.166241
1997,11,0.244341,0.138902,0.165625,0.148498,0.204904,0.096801,0.215386,0.167122
1997,12,0.245172,0.140027,0.167481,0.148884,0.205867,0.097091,0.215450,0.168075
1998,1,0.244804,0.141441,0.168402,0.148244,0.206216,0.094577,0.224908,0.168478
1998,2,0.244559,0.141894,0.171467,0.145502,0.208856,0.091541,0.224346,0.168208
1998,3,0.244070,0.143015,0.171878,0.145269,0.209838,0.086799,0.224817,0.167821
1998,4,0.244241,0.143530,0.171483,0.145225,0.208558,0.092519,0.224502,0.168862
1998,5,0.243655,0.144577,0.170934,0.144702,0.208328,0.097460,0.224772,0.169740
1998,6,0.244215,0.144303,0.170900,0.144442,0.208870,0.099604,0.225266,0.170063
1998,7,0.243580,0.142167,0.169909,0.144254,0.208953,0.097711,0.225739,0.168753
1998,8,0.243702,0.140219,0.166731,0.143807,0.208933,0.094301,0.225514,0.167066
1998,9,0.243263,0.140023,0.165514,0.143289,0.209183,0.089577,0.226032,0.165963
1998,10,0.242947,0.140471,0.164803,0.143132,0.209476,0.089729,0.226417,0.165996
1998,11,0.242097,0.139741,0.163385,0.142674,0.210021,0.089289,0.226303,0.165266
1998,12,0.242242,0.139224,0.164545,0.142602,0.210903,0.088066,0.226168,0.165067
1999,1,0.242678,0.140323,0.168675,0.142930,0.210987,0.086076,0.229040,0.165893
1999,2,0.244474,0.144631,0.173213,0.144031,0.210924,0.084406,0.229429,0.168232
1999,3,0.245598,0.145760,0.175828,0.145529,0.210629,0.083553,0.227594,0.169174
1999,4,0.246826,0.144040,0.176619,0.145776,0.213388,0.089009,0.228208,0.169969
1999,5,0.247073,0.141216,0.176354,0.145951,0.215970,0.090709,0.228186,0.169340
1999,6,0.247123,0.139522,0.177571,0.145864,0.217223,0.092551,0.228710,0.169205
1999,7,0.250879,0.139103,0.185047,0.146155,0.219460,0.094300,0.228962,0.171049
1999,8,0.256072,0.140230,0.186861,0.146360,0.222093,0.091584,0.229283,0.172315
1999,9,0.258172,0.141464,0.189439,0.148790,0.221605,0.091978,0.229672,0.173883
1999,10,0.258946,0.143968,0.195103,0.149519,0.221760,0.092567,0.229948,0.175848
1999,11,0.259490,0.147510,0.204644,0.150266,0.221427,0.092252,0.230914,0.178450
1999,12,0.259750,0.149235,0.206097,0.150462,0.221826,0.092058,0.231375,0.179325
2000,1,0.260789,0.150131,0.206488,0.150477,0.222558,0.091699,0.248358,0.180347
2000,2,0.261936,0.148059,0.207232,0.150070,0.221868,0.090727,0.248532,0.179932
2000,3,0.262905,0.147452,0.210278,0.150085,0.221868,0.089929,0.249328,0.180346
2000,4,0.263063,0.146612,0.210383,0.150821,0.222711,0.091673,0.249826,0.180508
2000,5,0.263116,0.145776,0.210783,0.150956,0.224159,0.092627,0.250526,0.180562
2000,6,0.263642,0.145455,0.211331,0.151107,0.226154,0.093331,0.250801,0.180887
2000,7,0.264907,0.149106,0.217312,0.152891,0.228144,0.093443,0.251027,0.183420
2000,8,0.269093,0.152640,0.222592,0.152508,0.231498,0.094013,0.251203,0.186263
2000,9,0.270734,0.152640,0.222993,0.152569,0.231799,0.094558,0.251052,0.186766
2000,10,0.271222,0.151770,0.223484,0.152752,0.232169,0.094823,0.251554,0.186784
2000,11,0.271384,0.150176,0.225026,0.153272,0.231798,0.095212,0.251781,0.186691
2000,12,0.272416,0.149005,0.229099,0.153486,0.232169,0.095078,0.252184,0.187176
2001,1,0.272661,0.149646,0.230473,0.153640,0.232680,0.094603,0.262422,0.187888
2001,2,0.273342,0.149541,0.230681,0.154009,0.234727,0.093458,0.262422,0.188094
2001,3,0.273698,0.151874,0.231903,0.153562,0.236675,0.093514,0.262448,0.189054
2001,4,0.273698,0.155701,0.232367,0.152994,0.237740,0.093748,0.263209,0.190207
2001,5,0.274026,0.154564,0.235643,0.154019,0.236623,0.094114,0.263683,0.190530
2001,6,0.274711,0.154302,0.245635,0.155266,0.236765,0.094641,0.264105,0.192150
2001,7,0.279629,0.155521,0.250155,0.156648,0.237452,0.094783,0.265320,0.194475
2001,8,0.286172,0.156003,0.251430,0.158371,0.238354,0.095967,0.265930,0.196711
2001,9,0.288404,0.155862,0.251958,0.158751,0.238807,0.096188,0.265877,0.197341
2001,10,0.289990,0.158309,0.253369,0.159815,0.238473,0.096881,0.266170,0.198801
2001,11,0.290976,0.159132,0.254053,0.162276,0.240476,0.098547,0.265930,0.200014
2001,12,0.291151,0.158989,0.254663,0.163737,0.242231,0.099276,0.266568,0.200514
2002,1,0.292869,0.160420,0.252142,0.165210,0.242934,0.099842,0.278857,0.201657
2002,2,0.293630,0.161816,0.251108,0.164533,0.246408,0.099393,0.279861,0.202181
2002,3,0.293160,0.161379,0.253468,0.163941,0.248477,0.099602,0.280197,0.202322
2002,4,0.291841,0.160104,0.258031,0.164908,0.248875,0.099801,0.280365,0.202444
2002,5,0.291578,0.159544,0.259424,0.165485,0.249597,0.099990,0.280645,0.202565
2002,6,0.292628,0.160118,0.259502,0.166346,0.250196,0.100300,0.280870,0.203193
2002,7,0.294033,0.161911,0.261267,0.167527,0.251722,0.100391,0.281853,0.204555
2002,8,0.299707,0.164340,0.259830,0.168247,0.254113,0.100571,0.282247,0.206621
2002,9,0.302315,0.166674,0.260453,0.169425,0.254545,0.101004,0.281993,0.208191
2002,10,0.304008,0.171440,0.262771,0.172068,0.256022,0.102276,0.282360,0.210856
2002,11,0.307170,0.182190,0.272678,0.174563,0.257839,0.103371,0.283433,0.216444
2002,12,0.310364,0.188311,0.274641,0.179887,0.264827,0.104146,0.283943,0.220404
2003,1,0.312382,0.191852,0.291559,0.183862,0.266628,0.103573,0.306289,0.225231
2003,2,0.314412,0.195420,0.304563,0.185793,0.269454,0.104506,0.307698,0.228857
2003,3,0.316078,0.197667,0.305842,0.186072,0.273388,0.105268,0.308560,0.230391
2003,4,0.317501,0.199150,0.306270,0.187467,0.276423,0.106290,0.309146,0.231704
2003,5,0.318898,0.199688,0.304249,0.189079,0.277722,0.107661,0.309548,0.232422
2003,6,0.320397,0.196992,0.301358,0.189514,0.279971,0.108834,0.310229,0.232050
2003,7,0.321069,0.195593,0.299882,0.190689,0.280727,0.108693,0.310291,0.231865
2003,8,0.327523,0.194987,0.301081,0.190289,0.281626,0.108323,0.310415,0.233326
2003,9,0.330569,0.196859,0.303279,0.191754,0.283963,0.109201,0.310788,0.235286
2003,10,0.334404,0.198473,0.303885,0.191620,0.284531,0.109757,0.310881,0.236768
2003,11,0.335240,0.198056,0.304676,0.193536,0.286750,0.109944,0.311067,0.237407
2003,12,0.335575,0.199066,0.305833,0.196168,0.286120,0.111153,0.311752,0.238404
2004,1,0.335709,0.200141,0.307638,0.197855,0.286806,0.110275,0.340682,0.239954
2004,2,0.336850,0.200381,0.308068,0.198033,0.288756,0.109338,0.341670,0.240410
2004,3,0.337760,0.200582,0.306805,0.198667,0.289854,0.109447,0.341773,0.240698
2004,4,0.338098,0.199980,0.309199,0.199144,0.296491,0.109644,0.342080,0.241396
2004,5,0.339416,0.202080,0.311023,0.199801,0.298804,0.109951,0.342183,0.242772
2004,6,0.340197,0.204889,0.317523,0.200880,0.301284,0.111392,0.342696,0.245006
2004,7,0.342034,0.205688,0.321143,0.202226,0.307400,0.109476,0.343279,0.246451
2004,8,0.348122,0.207868,0.324515,0.201316,0.309275,0.109607,0.343691,0.248891
2004,9,0.350106,0.206683,0.325943,0.201658,0.310234,0.110396,0.344000,0.249414
2004,10,0.352522,0.207262,0.330245,0.202283,0.311413,0.111611,0.344069,0.250960
2004,11,0.354320,0.206785,0.335397,0.204731,0.312534,0.111934,0.344413,0.252366
2004,12,0.355348,0.207757,0.339925,0.207433,0.314441,0.112841,0.344757,0.254056
2005,1,0.356556,0.207882,0.343426,0.208574,0.315447,0.112536,0.363512,0.255479
2005,2,0.358374,0.208194,0.347101,0.208699,0.316172,0.111614,0.363985,0.256399
2005,3,0.358768,0.208797,0.361575,0.208574,0.317974,0.111368,0.364494,0.258424
2005,4,0.359307,0.212034,0.366348,0.209387,0.323666,0.112292,0.364640,0.260569
2005,5,0.359810,0.213476,0.366384,0.210581,0.326385,0.112719,0.364932,0.261481
2005,6,0.360565,0.210508,0.365981,0.210897,0.328865,0.112539,0.365735,0.260958
2005,7,0.361395,0.208951,0.368141,0.213744,0.332549,0.113529,0.365991,0.261741
2005,8,0.361828,0.206422,0.370276,0.211692,0.335708,0.113336,0.366101,0.261218
2005,9,0.362624,0.206154,0.375867,0.212200,0.340475,0.113982,0.366284,0.262367
2005,10,0.364764,0.207082,0.380490,0.213919,0.342211,0.113993,0.366650,0.264020
2005,11,0.364946,0.208614,0.381746,0.214111,0.343101,0.114438,0.366687,0.264786
2005,12,0.365202,0.208760,0.384456,0.215503,0.343581,0.115434,0.367310,0.265553
2006,1,0.366041,0.208321,0.388685,0.217421,0.345265,0.115168,0.383876,0.266881
2006,2,0.365968,0.207863,0.390590,0.216704,0.347129,0.114028,0.384720,0.266801
2006,3,0.366481,0.206907,0.395628,0.216335,0.348726,0.113777,0.384759,0.267175
2006,4,0.366297,0.205583,0.395470,0.216898,0.353120,0.114926,0.385259,0.267202
2006,5,0.366261,0.203753,0.393058,0.216941,0.355945,0.115374,0.385644,0.266614
2006,6,0.366883,0.201003,0.391800,0.216290,0.356159,0.115894,0.385798,0.265787
2006,7,0.367120,0.201619,0.393452,0.217070,0.359116,0.114811,0.385935,0.266353
2006,8,0.366496,0.202550,0.394033,0.217423,0.360815,0.114671,0.386024,0.266674
2006,9,0.366470,0.204325,0.393588,0.217932,0.361989,0.114978,0.386433,0.267335
2006,10,0.368048,0.206815,0.392873,0.217723,0.362579,0.114873,0.386761,0.268367
2006,11,0.368259,0.209049,0.393704,0.219379,0.363645,0.114918,0.387143,0.269488
2006,12,0.368868,0.208895,0.412340,0.222727,0.365300,0.115724,0.387346,0.272295
2007,1,0.369250,0.211598,0.415532,0.224235,0.366728,0.115334,0.399851,0.274105
2007,2,0.369865,0.212845,0.417364,0.225070,0.370004,0.114499,0.400324,0.275021
2007,3,0.369974,0.214165,0.417915,0.223699,0.370650,0.114509,0.400640,0.275329
2007,4,0.370924,0.213883,0.421080,0.224672,0.373107,0.115545,0.401019,0.276229
2007,5,0.371979,0.215132,0.422193,0.225726,0.374689,0.115644,0.401292,0.277232
2007,6,0.372471,0.219216,0.421535,0.227094,0.375566,0.115789,0.401553,0.278749
2007,7,0.372127,0.221545,0.419916,0.229061,0.377854,0.115070,0.402631,0.279515
2007,8,0.369080,0.224776,0.419711,0.229491,0.380397,0.113860,0.402894,0.279707
2007,9,0.369901,0.226303,0.419655,0.229540,0.380917,0.113781,0.403082,0.280366
2007,10,0.369774,0.226855,0.419847,0.229816,0.382669,0.113380,0.403160,0.280592
2007,11,0.369222,0.230834,0.421950,0.229239,0.385089,0.114009,0.403274,0.281915
2007,12,0.369903,0.235495,0.424187,0.231940,0.386177,0.115082,0.403675,0.284227
2008,1,0.369851,0.237953,0.425426,0.233788,0.387562,0.114100,0.421399,0.285704
2008,2,0.371141,0.237597,0.427001,0.233786,0.389777,0.114173,0.422119,0.286246
2008,3,0.372776,0.238229,0.428030,0.234492,0.391085,0.114263,0.422639,0.287142
2008,4,0.374526,0.240228,0.429096,0.235383,0.395002,0.114998,0.422816,0.288686
2008,5,0.377292,0.247849,0.430411,0.237238,0.397339,0.116777,0.422983,0.292233
2008,6,0.378422,0.254959,0.431046,0.239130,0.400595,0.117417,0.423318,0.295028
2008,7,0.378089,0.257699,0.432411,0.241965,0.402830,0.117386,0.423525,0.296357
2008,8,0.381990,0.256435,0.433666,0.243785,0.404589,0.116942,0.424018,0.297482
2008,9,0.384738,0.255612,0.434833,0.245758,0.406937,0.117620,0.424337,0.298610
2008,10,0.387656,0.256565,0.436415,0.246396,0.409517,0.118249,0.424489,0.300097
2008,11,0.388942,0.258110,0.437562,0.247504,0.410780,0.118706,0.424781,0.301262
2008,12,0.389844,0.256711,0.438367,0.249689,0.410959,0.120154,0.425118,0.301744
2009,1,0.390645,0.258469,0.437033,0.251154,0.412665,0.119478,0.450413,0.303146
2009,2,0.392090,0.259312,0.438507,0.251892,0.413515,0.118751,0.450988,0.303973
2009,3,0.393063,0.261125,0.438902,0.253898,0.414449,0.119411,0.451373,0.305192
2009,4,0.392918,0.260449,0.438795,0.258768,0.422139,0.119905,0.451471,0.306144
2009,5,0.393653,0.260627,0.438274,0.263113,0.425324,0.120230,0.451741,0.307162
2009,6,0.393991,0.261126,0.437196,0.263666,0.429033,0.120321,0.451981,0.307548
2009,7,0.394882,0.263475,0.438006,0.263688,0.432433,0.119398,0.452854,0.308567
2009,8,0.399732,0.264066,0.437768,0.264045,0.433057,0.119477,0.453055,0.310035
2009,9,0.401597,0.262413,0.438861,0.264531,0.435887,0.120376,0.453481,0.310537
2009,10,0.403726,0.261219,0.442512,0.265151,0.437116,0.120398,0.453617,0.311325
2009,11,0.404572,0.261998,0.444081,0.266328,0.438109,0.120813,0.454037,0.312215
2009,12,0.405018,0.261366,0.445976,0.267736,0.438988,0.121792,0.454510,0.312762
2010,1,0.405620,0.265329,0.466391,0.269322,0.440124,0.120958,0.474620,0.316938
2010,2,0.408756,0.267988,0.471687,0.270234,0.442353,0.120801,0.475630,0.319288
2010,3,0.409128,0.271814,0.469348,0.270795,0.442983,0.121334,0.476066,0.320359
